step,tau,a,chi,chi_over_chicrit,chi_crit,cl_support,R_q_to_cl,R_cl_to_q,leak_norm
26.0,0.52,0.38586156072987454,1.3286365831486773,1.205154520244062,1.102461602085356,0.396563915234177,0.00035064027295162576,0.00037632916011469614,1.3164127247472461
27.0,0.54,0.39607993264176133,1.3135883198061453,1.1607654769725027,1.1316569504050324,0.3951167079542106,0.00034221058587079433,0.0003727948053419204,1.2957443568531763
28.0,0.56,0.40612828568192,1.2987406969824549,1.1192503944427805,1.1603665305197715,0.39367802715564754,0.00033385614889030275,0.00036889414245331237,1.2753701398573987
29.0,0.58,0.4160094487175117,1.2840910395105856,1.0803405192219286,1.1885984249071764,0.3922450655016533,0.00032557872377947925,0.0003646552660612231,1.255285842715954
30.0,0.6,0.4257262035474557,1.2696367078918793,1.0437996159487597,1.2163605815641592,0.3908151221896642,0.0003173807388745895,0.00036010627043699144,1.2354872959407786
31.0,0.62,0.43528128568557645,1.2553750978204685,1.0094191932582857,1.2436608162445042,0.3893856019936073,0.00030926511912378487,0.0003552749529512163,1.2159703906934014
32.0,0.64,0.44467738513071997,1.2413036397140458,0.9770145467869941,1.2705068146592,0.3880689744327436,0.0003013096988138477,0.0003502735070322445,1.1967310778921498
33.0,0.66,0.45391714712405756,1.22741979825089,0.9464214606336535,1.2969061346401645,0.38690300512145537,0.0002934690416893775,0.0003450702293925252,1.1777653673326582
34.0,0.68,0.46300317289378834,1.2137210719130662,0.9174934428948754,1.3228662082679667,0.38587844172373637,0.00028571801484734657,0.00033965404952431845,1.1590693268214827
35.0,0.7000000000000001,0.4719380203874508,1.2002049925357137,0.8900993970408021,1.3483943439641453,0.38498649320640344,0.0002780615880229149,0.00033404839413236724,1.1406390813226157
36.0,0.72,0.4807242049920508,1.186869124862346,0.8641216510175312,1.3734977285487167,0.3842188196394811,0.00027050440537447343,0.0003282760721429563,1.122470812116718
37.0,0.74,0.48936420024220656,1.1737110661060792,0.8394542815633149,1.3981834292634474,0.3835675195837823,0.00026305077182446656,0.00032235912952931895,1.1045607559728656
